pair_index,puzzle,status,dpll_calls,num_vars,num_clauses,time_sec
1,A,SAT,94,729,12850,0.403812
1,B,SAT,2,729,12850,0.281981
2,A,SAT,1,729,12850,0.287047
2,B,SAT,221594,729,12847,452.485173
3,A,SAT,1400,729,12850,2.370815
3,B,SAT,173,729,12850,0.698621
4,A,SAT,2800,729,12850,5.470443
4,B,SAT,1,729,12850,0.283831
5,A,SAT,2152,729,12850,4.787587
5,B,SAT,1450,729,12848,3.240792
6,A,SAT,80,729,12850,0.394261
6,B,SAT,1,729,12853,0.300776
7,A,SAT,158,729,12850,0.481219
7,B,SAT,351,729,12849,1.118940
8,A,SAT,55,729,12850,0.321526
8,B,SAT,8,729,12850,0.281841
9,A,SAT,175400,729,12850,352.355425
9,B,SAT,6337,729,12849,12.523317
10,A,SAT,26014,729,12850,51.050045
10,B,SAT,1,729,12852,0.269523
11,A,SAT,1,729,12850,0.273153
11,B,SAT,84,729,12851,0.390093
12,A,SAT,21942,729,12850,37.989386
12,B,SAT,106,729,12850,0.408000
13,A,SAT,906,729,12850,2.005012
13,B,SAT,2313,729,12850,5.020960
14,A,SAT,2,729,12850,0.268823
14,B,SAT,2,729,12851,0.282472
15,A,SAT,28695,729,12850,54.043822
15,B,SAT,43,729,12850,0.296000
16,A,SAT,4185,729,12850,9.906127
16,B,SAT,18279,729,12849,35.051490
17,A,SAT,53,729,12850,0.298684
17,B,SAT,271,729,12851,0.810768
18,A,SAT,5489,729,12850,10.554576
18,B,SAT,473,729,12848,0.999691
19,A,SAT,368,729,12850,1.001694
19,B,SAT,3,729,12849,0.286360
20,A,SAT,1189,729,12850,2.659527
20,B,SAT,99,729,12850,0.374120
